,MMS,age_bl,cdr,cdr_global,diagnosis,diagnosis_bl,education_level,sex
1.0,-0.04602852334954827,0.11971515480507555,-0.028656396876544116,-0.028656396876544116,-0.09535337068895636,-0.09535337068895636,0.022925782726948726,0.05742425771004127
2.0,-0.07130106216043938,0.17125196351095118,-0.016174119467098985,-0.016174119467098985,-0.10603166104381768,-0.10603166104381768,0.06686504219754003,0.14978829196013793
3.0,-0.056788426644086225,0.11674283661841242,0.007809317585784341,0.007809317585784341,-0.07789626994971796,-0.07789626994971796,0.09087276957522926,0.1628219466106292
4.0,-0.08602129239971829,0.18403585823830534,0.025415882186899077,0.025415882186899077,-0.05877869226048626,-0.05877869226048626,0.06370609888821435,0.17154419381385702
5.0,-0.060030907108587224,0.14877224841858172,-0.0021373929873662384,-0.0021373929873662384,-0.07652612646105032,-0.07652612646105032,0.08488006822912487,0.12636378871541049
6.0,-0.03529159684269468,0.1426018380971881,-0.02610425958770542,-0.02610425958770542,-0.12146414658959616,-0.12146414658959616,0.09438012880680506,0.13823219676940257
7.0,-0.03047303402376252,0.06306736727427277,-0.039858045253875915,-0.039858045253875915,-0.1364544446478804,-0.1364544446478804,0.11149588536956523,0.12514915680662247
8.0,-0.045320812920234224,0.10920507708165132,-0.008016993862542033,-0.008016993862542033,-0.06389950866401646,-0.06389950866401646,0.05010126511029709,0.09104999232338033
9.0,-0.056267136444049626,0.1687747354038149,-0.004861533842056056,-0.004861533842056056,-0.08244950185783387,-0.08244950185783387,0.06729604667032357,0.14048457963203123
10.0,-0.06381271576437464,0.18836382318745334,0.014405204523716861,0.014405204523716861,-0.062278429200648903,-0.062278429200648903,0.0698111451898221,0.1500236216146939
11.0,-0.10177621156142759,0.18436311689074875,0.06906096169636028,0.06906096169636028,0.015998645988182562,0.015998645988182562,0.04482965313628949,0.14739999006502072
12.0,-0.03002910241051075,0.172910016564075,-0.008968983297206964,-0.008968983297206964,-0.10307726012168192,-0.10307726012168192,0.06600765212822984,0.15035263980360786
